id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20240223-1310,M1.0,M1.0,2024-02-23 13:28:00,0,ok,77,15.43,1.11,20.73,410.0,1.653,1051.8,0.11539,15.69,18.0,0.82,,,
AL1-20240223-1726,M2.6,M2.6,2024-02-23 17:47:00,0,ok,86,16.88,0.56,23.32,390.0,1.844,2409.9,0.18924,14.63,16.66,0.937,,,
AL1-20240223-2029,C5.9,C5.4,2024-02-23 20:38:00,0,ok,10,17.25,2.0,20.47,70.0,1.863,592.7,0.12485,16.66,19.21,,,,
AL1-20240223-2108,C6.4,C6.0,2024-02-23 21:15:00,0,ok,9,20.86,2.27,24.38,70.0,1.056,630.4,0.12475,18.26,21.29,,,,
AL1-20240224-0332,C6.7,C5.9,2024-02-24 03:52:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240224-0621,M5.1,M4.4,2024-02-24 06:34:00,0,ok,42,21.02,0.39,29.48,310.0,1.53,4464.1,0.28188,19.68,23.24,0.859,,,
AL1-20240224-0800,C5.3,C4.4,2024-02-24 08:10:00,0,ok,3,17.79,1.96,17.79,-10.0,2.199,511.5,0.11594,19.8,23.39,,,,
AL1-20240224-0907,C6.2,C5.2,2024-02-24 09:13:00,0,ok,12,16.17,1.6,20.88,110.0,1.69,590.1,0.11441,14.64,16.67,,,,
AL1-20240224-1037,M2.4,,2024-02-24 11:10:00,0,ok,83,14.79,0.62,21.58,1510.0,1.063,2371.0,0.13494,13.89,15.74,0.876,,,
AL1-20240224-1112,M3.9,M3.6,2024-02-24 11:18:00,0,ok,27,24.17,0.84,57.18,230.0,1.543,3677.7,0.21255,21.15,25.19,0.4,,,
AL1-20240224-1154,M1.0,C9.9,2024-02-24 11:58:00,0,ok,17,18.44,1.61,18.81,30.0,2.53,969.4,0.10413,17.04,19.72,0.257,,,
AL1-20240224-1434,C5.0,C3.8,2024-02-24 14:44:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240224-1713,C7.0,C5.7,2024-02-24 17:25:00,0,ok,25,14.35,1.62,20.04,390.0,1.197,677.0,0.10842,12.14,13.6,0.619,,,
AL1-20240224-1738,C8.5,C7.8,2024-02-24 17:54:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240224-2016,C5.1,C4.3,2024-02-24 20:25:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240225-1647,M2.3,M2.0,2024-02-25 17:21:00,0,ok,122,15.31,0.57,22.96,770.0,1.254,2137.4,0.18584,14.24,16.19,0.867,,,
AL1-20240228-0856,C5.4,,2024-02-28 09:08:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240228-1117,C6.4,,2024-02-28 12:02:00,0,ok,21,17.23,2.01,20.66,1270.0,0.29,612.5,0.08554,,,0.107,,,
AL1-20240228-1715,M1.6,,2024-02-28 18:35:00,0,ok,229,12.58,0.84,20.04,3090.0,1.426,1571.6,0.1191,12.13,13.59,0.776,,,
AL1-20240228-2352,C7.5,C6.5,2024-02-28 23:59:00,0,ok,7,14.53,1.41,21.3,70.0,3.519,723.8,0.10722,14.45,16.43,,,,
AL1-20240302-1248,C7.4,C6.5,2024-03-02 12:58:00,0,ok,24,14.04,1.42,19.15,210.0,2.677,749.9,0.10629,14.28,16.22,0.5,,,
AL1-20240307-0612,C9.6,,2024-03-07 06:18:00,0,ok,14,19.9,1.2,20.45,50.0,1.312,867.4,0.16029,18.06,21.07,,,,
AL1-20240307-1018,C5.3,C4.0,2024-03-07 10:28:00,0,ok,6,17.41,1.76,19.33,50.0,1.329,522.2,0.13311,14.97,17.09,,,,
AL1-20240308-2118,M1.4,M1.3,2024-03-08 21:26:00,0,ok,16,21.38,0.95,25.46,50.0,2.886,1189.8,0.19569,17.91,20.87,,,,
AL1-20240309-0110,C7.5,C6.3,2024-03-09 01:18:00,0,ok,24,18.28,1.37,21.54,50.0,1.828,599.8,0.16875,16.62,19.2,0.929,,,
AL1-20240310-1203,M8.0,M7.3,2024-03-10 12:13:00,0,ok,28,23.03,0.33,25.16,230.0,1.781,7045.1,0.28568,20.54,24.41,0.617,,,
AL1-20240310-1524,C7.7,C6.8,2024-03-10 15:37:00,0,ok,28,13.25,1.29,19.18,210.0,2.976,757.6,0.11018,12.22,13.7,0.6,,,
AL1-20240311-0838,C7.2,,2024-03-11 08:50:00,0,ok,26,16.79,1.29,21.34,150.0,1.9,621.9,nan,14.9,17.01,,,,
AL1-20240313-2317,C7.0,C6.1,2024-03-13 23:47:00,0,ok,19,13.79,1.52,16.85,290.0,0.517,674.5,0.0926,14.11,16.02,0.786,,,
AL1-20240314-0554,M1.1,C9.9,2024-03-14 06:04:00,0,ok,21,15.12,0.97,19.71,170.0,2.071,1036.3,0.13374,14.1,16.01,0.786,,,
AL1-20240315-0256,C5.0,,2024-03-15 03:53:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240316-1622,M3.7,M3.4,2024-03-16 16:34:00,0,ok,47,18.7,0.46,27.77,310.0,2.503,3452.3,0.22045,17.29,20.06,0.979,,,
AL1-20240316-1906,C8.7,C8.1,2024-03-16 19:16:00,0,ok,16,13.46,1.26,18.54,150.0,1.735,918.1,0.08563,11.89,13.3,0.657,,,
AL1-20240316-2129,M1.3,M1.1,2024-03-16 21:55:00,0,ok,85,13.03,0.84,19.86,1050.0,1.335,1249.8,0.11829,12.92,14.56,0.881,,,
AL1-20240317-0353,C7.4,C6.6,2024-03-17 03:59:00,0,ok,20,16.53,1.52,21.17,30.0,1.718,714.6,0.116,16.39,18.88,0.964,,,
AL1-20240317-1205,C6.2,C5.5,2024-03-17 12:12:00,0,ok,2,14.59,1.64,17.22,-50.0,1.662,604.1,0.09223,,,,,,
AL1-20240317-1530,C5.7,C4.9,2024-03-17 15:43:00,0,ok,1,21.81,2.38,21.81,50.0,0.638,618.4,0.08886,,,,,,
AL1-20240317-2052,C5.5,C4.9,2024-03-17 21:11:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240318-0321,M3.1,M2.7,2024-03-18 03:32:00,0,ok,55,17.29,0.5,26.92,350.0,1.383,2833.8,0.21061,15.85,18.21,0.976,,,
AL1-20240318-0406,M1.1,M1.0,2024-03-18 04:14:00,0,ok,29,16.8,1.05,23.57,210.0,2.171,1084.0,0.13468,15.62,17.9,0.933,,,
AL1-20240318-0441,C5.0,C4.9,2024-03-18 04:45:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240318-1345,C5.8,C5.0,2024-03-18 14:06:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240319-0509,C5.9,C5.3,2024-03-19 05:16:00,0,ok,7,15.19,1.74,20.2,70.0,1.588,602.1,0.09452,13.51,15.28,,,,
AL1-20240319-1244,C6.5,,2024-03-19 12:53:00,0,ok,7,13.5,1.57,19.0,90.0,1.33,679.9,nan,,,,,,
AL1-20240319-1719,C8.0,,2024-03-19 17:26:00,0,ok,5,18.04,1.37,18.76,30.0,1.438,785.7,nan,15.32,17.53,,,,
AL1-20240319-1950,C6.5,,2024-03-19 19:58:00,0,ok,13,16.35,1.62,18.15,50.0,2.216,627.8,nan,15.1,17.26,,,,
AL1-20240320-0049,C6.2,,2024-03-20 01:12:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240320-0723,M7.6,,2024-03-20 07:36:00,0,ok,49,19.43,0.32,24.23,150.0,1.991,7045.5,0.20072,17.96,20.94,,,,
AL1-20240320-2247,M2.0,,2024-03-20 22:55:00,0,ok,18,18.53,0.79,20.47,-10.0,2.516,1665.8,0.1305,18.54,21.7,,,,
AL1-20240321-1120,C9.4,,2024-03-21 11:32:00,0,ok,13,16.41,1.13,19.75,90.0,2.225,907.0,nan,16.02,18.42,,,,
AL1-20240321-1752,C5.8,,2024-03-21 18:17:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240322-0504,C6.5,C5.7,2024-03-22 05:14:00,0,ok,17,13.74,1.42,18.75,110.0,1.599,655.9,0.10047,16.12,18.55,,,,
AL1-20240322-1319,C6.1,,2024-03-22 13:35:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240322-1345,C8.2,,2024-03-22 13:58:00,0,ok,31,13.66,1.62,21.7,350.0,1.7,838.5,0.09566,13.48,15.21,,,,
AL1-20240322-1428,C6.5,,2024-03-22 14:41:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240322-2018,M4.4,M4.2,2024-03-22 20:32:00,0,ok,53,16.92,0.42,25.38,350.0,1.577,4239.1,0.18897,15.66,17.97,0.889,,,
AL1-20240322-2353,C8.5,C8.2,2024-03-22 23:58:00,0,ok,4,15.54,1.62,18.77,30.0,1.611,938.1,0.07009,15.18,17.33,,,,
AL1-20240323-0056,M9.8,X1.0,2024-03-23 01:33:00,0,ok,139,15.22,0.25,22.53,1530.0,1.014,9568.2,0.16243,14.7,16.75,0.627,,,
AL1-20240323-0447,M1.4,,2024-03-23 04:54:00,0,ok,19,11.98,1.03,18.48,90.0,1.291,1482.2,0.07065,12.89,14.48,0.071,,,
AL1-20240323-0700,M2.6,M2.4,2024-03-23 07:09:00,0,ok,73,19.37,0.62,26.0,370.0,1.417,2453.1,0.19532,18.3,21.38,0.771,,,
AL1-20240323-0727,M3.1,M3.0,2024-03-23 07:38:00,0,ok,40,16.08,0.95,21.95,290.0,1.272,3020.3,0.14608,15.1,17.17,0.495,,,
AL1-20240323-0851,C8.3,,2024-03-23 09:06:00,0,ok,10,14.39,1.48,19.33,30.0,2.538,811.5,nan,14.71,16.74,,,,
AL1-20240323-1122,M1.1,M1.0,2024-03-23 11:29:00,0,ok,13,14.43,1.28,18.73,30.0,1.681,1090.6,0.09795,13.67,15.45,,,,
AL1-20240323-1236,M1.4,M1.3,2024-03-23 12:46:00,0,ok,35,17.3,0.93,20.19,150.0,1.343,1306.0,0.13648,14.11,16.02,0.741,,,
AL1-20240323-1304,M1.1,M1.1,2024-03-23 13:11:00,0,ok,16,15.84,1.46,19.16,50.0,1.014,1166.9,0.09474,16.1,18.47,,,,
AL1-20240323-1331,M2.0,M1.9,2024-03-23 13:37:00,0,ok,24,18.66,0.73,24.24,130.0,1.809,1901.8,0.17082,17.38,20.18,0.69,,,
AL1-20240323-1449,M1.5,M1.5,2024-03-23 14:53:00,0,ok,14,18.48,1.17,22.26,70.0,2.136,1326.7,0.11591,17.39,20.17,,,,
AL1-20240323-1501,M3.7,M3.7,2024-03-23 15:21:00,0,ok,68,15.41,0.46,21.95,990.0,1.347,3412.8,0.17591,14.85,16.94,0.259,,,
AL1-20240323-1622,M2.5,M2.7,2024-03-23 16:52:00,0,ok,119,13.63,0.56,23.35,1510.0,1.293,2423.8,0.138,13.07,14.75,0.665,,,
AL1-20240323-1852,C9.6,C9.7,2024-03-23 18:57:00,0,ok,30,17.43,1.21,18.43,-110.0,2.066,947.5,0.11532,16.77,19.39,0.903,,,
AL1-20240323-1935,C8.3,C8.9,2024-03-23 19:43:00,0,ok,9,15.7,1.84,19.27,130.0,0.928,812.1,0.07992,,,,,,
AL1-20240323-2002,C8.9,,2024-03-23 20:21:00,0,ok,1,19.48,2.25,19.48,10.0,0.675,908.0,0.07451,15.73,18.03,,,,
